No.,Depth,Distance,Speed,Density,Shear wave velocity of soil,Z-vibration,Vibration level for 1Hz,1.25,1.6,2,2.5,3.15,4,5,6.3,8,10,12.5,16,20,25,31.5,40,50,63,80
1,15,30,30,1800,250,50.06811964,-8.686594,-6.060132,-5.12244,-4.759462,-3.864159,0.320401,23.371671,29.986599,24.299991,28.125487,29.129559,33.979021,35.403943,40.210386,44.380689,42.749127,52.13759,58.147534,57.037467,55.878719
2,15,40,30,1900,350,45.48152943,1.065132,4.08678,5.865354,5.915461,7.221028,8.33609,10.066998,10.514259,18.897259,24.992874,27.410605,31.618168,32.69034,40.689025,39.235835,41.240125,47.286635,51.560688,53.25388,49.783926
3,15,90,75,1800,350,53.6293254,9.391507,12.41597,14.203822,14.25166,15.568939,16.654467,18.350801,19.508247,27.417391,34.651431,39.962751,41.058418,41.608237,45.672906,53.494428,58.25442,51.152673,44.347107,37.805227,31.579458
4,24,25,30,1800,350,41.84955764,-12.66597,-9.601036,-8.470938,-7.851348,-6.248253,-4.082802,-0.956964,6.881356,18.625353,18.48571,14.147114,17.762764,29.718737,33.160233,32.217944,40.238209,39.675128,50.018856,50.166777,47.266541
5,15,75,75,1900,200,63.30272492,9.655078,12.681588,14.392976,14.892922,28.71192,35.052532,35.762083,36.891055,35.149168,36.414747,43.500702,54.896722,52.490915,53.622656,64.889387,66.668898,58.240256,52.4282,43.037007,30.777575
6,24,25,45,1900,250,50.66638774,-1.975083,1.20282,2.553413,3.790566,4.523402,4.226049,11.69024,24.654836,25.731048,18.589173,23.644085,32.638529,37.353951,37.996981,47.842788,49.109712,50.587786,54.718783,58.600566,61.477154
7,15,45,45,2000,300,51.02126366,-12.10161,-8.92187,-6.875554,-6.261581,-4.297516,-2.555453,0.663532,4.822186,23.514242,29.095725,35.158162,35.459586,40.366976,44.056532,47.615632,48.29308,48.771665,55.003513,59.991635,59.393163
8,24,100,30,1800,350,34.82137753,-8.005508,-4.975794,-3.176918,-3.118752,-1.777165,-0.642973,1.150664,2.462961,13.443074,20.982574,19.446068,22.051512,23.843272,29.539372,31.752214,31.689819,38.473803,40.454872,35.989404,26.910459
9,21,25,75,2000,350,57.59221672,8.530406,11.626558,12.674567,13.801503,14.304432,14.582606,16.016139,19.208788,32.984776,33.926266,33.951299,33.167161,42.793533,44.471407,56.022816,63.366885,56.433136,55.889804,55.695162,51.132622
10,24,10,60,1800,300,51.12565004,-2.208012,-4.148255,1.942326,0.456811,8.735107,7.895443,7.686529,18.636322,34.319494,36.766689,34.511858,35.607953,41.300498,40.834196,43.822647,54.068876,53.846775,51.3014,55.207381,58.001891
11,15,100,75,1900,200,61.08869484,-0.419478,1.87382,1.731057,0.163645,28.489551,35.141293,33.024949,34.628997,33.188097,36.658009,40.30306,49.034127,54.504684,53.051569,62.544721,63.847447,58.587017,48.753676,41.053717,23.696119
12,24,70,75,2000,350,52.31858273,2.033491,5.057632,6.838791,6.898285,8.208714,9.307492,11.073021,12.431253,28.142434,32.665873,37.269987,39.174244,39.604454,45.215045,54.201836,55.098943,50.456906,47.523758,40.707109,33.554135
13,15,45,30,1800,250,46.75784552,-12.198788,-9.12112,-7.063708,-6.258533,-2.708423,2.775919,20.98954,27.751826,24.827395,29.01105,29.921386,31.874611,33.556486,38.942427,45.240182,41.326854,50.250527,53.712106,47.59027,47.771198
14,21,100,45,1700,250,42.64106934,-6.306401,-3.288439,-1.514717,-1.491921,-0.201002,0.860901,2.557492,13.471667,24.545864,24.6294,24.819318,26.54295,32.234654,36.476619,44.251706,39.728554,40.820276,47.674833,43.888664,39.248597
15,24,95,75,1900,200,59.54144103,-8.89506,-5.560132,-2.145425,4.415687,25.894821,31.416791,28.496161,41.036519,32.331399,34.652604,39.640483,48.826565,52.004883,52.638189,62.441403,59.822647,53.153737,42.032685,30.801593,16.273538
16,21,30,30,1800,200,52.52208395,11.156554,14.181679,15.765436,16.507001,26.547833,23.004748,19.977889,26.628245,26.565597,31.006502,29.169786,39.772994,41.565508,46.505106,47.525689,48.25532,55.739448,60.76861,51.626603,46.736773
17,18,65,75,2000,350,54.22391398,4.250448,7.246627,8.971471,8.923195,10.086383,10.884232,11.955549,11.357142,28.124564,35.214834,39.75216,40.909139,41.925821,45.853925,54.570152,58.19351,54.08859,49.602605,47.16531,37.671827
