No.,Depth,Distance,Speed,Density,Shear wave velocity of soil,Z-vibration,Vibration level for 1Hz,1.25,1.6,2,2.5,3.15,4,5,6.3,8,10,12.5,16,20,25,31.5,40,50,63,80
1,15.5,14,50,1850,257,72.31230319,42.6877,40.7011,38.7281,37.7889,35.9092,34.0876,32.6868,31.7183,31.7292,32.6241,38.7999,44.2083,42.325,51.8685,56.5118,65.4705,70.4889,82.4763,80.634,73.8243
2,15.5,21,50,1850,257,73.46475008,42.6784,40.8173,38.6273,37.4857,35.7221,34.0727,32.9727,32.1955,32.3155,32.9787,38.4779,43.5974,43.3335,53.9119,61.7847,66.4555,74.6193,83.056,81.778,75.6667
3,15.5,31,50,1850,257,64.5904093,9.2563,9.3744,8.9495,9.2043,11.4979,12.5565,16.3894,20.7079,26.1893,28.2678,35.7113,40.0938,40.9548,49.803,54.2386,60.2413,66.312,72.9117,74.1474,66.1846
4,15.5,41,50,1850,257,62.52036887,8.4355,7.9903,7.6314,8.1868,10.6034,11.4065,15.2648,19.1407,24.867,27.5303,34.0389,39.4036,40.9279,48.8457,52.3645,57.6113,65.541,71.6658,69.4915,64.5295
5,15.5,51,50,1850,257,62.66137719,17.2396,16.6197,16.4253,16.7568,17.4501,17.2727,19.176,20.7082,24.7653,27.5866,33.8854,38.9506,39.4466,45.7544,50.8561,56.5807,63.9891,70.825,73.0885,61.7377
6,15.5,61,50,1850,257,62.55783107,8.1979,7.9082,7.3865,7.9805,10.5851,11.4489,15.549,18.2751,23.509,26.182,32.7759,37.1154,39.14,48.0481,53.4533,56.1232,65.4813,72.3312,68.3634,60.5003
7,16.5,49,45,1850,350,67.48926396,11.6889,10.761,10.5426,13.8445,18.2349,20.3953,23.9316,31.5407,33.6254,36.6843,41.1824,43.079,41.9664,46.2211,52.695,54.149,62.7153,77.7745,76.4061,68.965
8,16.5,44,45,1850,350,61.24796713,6.0362,5.4472,6.9181,11.1769,15.8443,18.8892,21.7345,29.5082,31.2678,34.1457,37.6011,41.093,43.9446,43.4766,48.3075,51.1119,59.0506,70.6775,70.0756,68.0263
9,16.5,49,45,1850,350,68.69463796,11.5614,10.3028,9.8951,13.1193,17.0604,19.7884,22.8059,30.5255,31.8938,34.6395,40.4962,42.3123,44.8529,46.2027,53.1868,55.1765,61.1344,74.7681,81.1501,76.4918
10,16.5,57,45,1850,350,60.1950235,8.8397,8.3085,8.6674,12.6426,17.3063,19.8795,23.4462,30.8329,32.2376,35.0624,40.2787,42.1561,44.9463,45.4747,50.2707,52.5468,58.2628,67.6059,71.4388,62.1775
